date,index_name,open,high,low,close
2005-04-01,NIFTY100 ALPHA 30,0.0,0.0,0.0,1000.0
2005-04-04,NIFTY100 ALPHA 30,0.0,0.0,0.0,1001.05
2005-04-05,NIFTY100 ALPHA 30,0.0,0.0,0.0,984.47
2005-04-06,NIFTY100 ALPHA 30,0.0,0.0,0.0,984.35
2005-04-07,NIFTY100 ALPHA 30,0.0,0.0,0.0,984.98
2005-04-08,NIFTY100 ALPHA 30,0.0,0.0,0.0,975.15
2005-04-11,NIFTY100 ALPHA 30,0.0,0.0,0.0,966.78
2005-04-12,NIFTY100 ALPHA 30,0.0,0.0,0.0,975.99
2005-04-13,NIFTY100 ALPHA 30,0.0,0.0,0.0,979.85
2005-04-15,NIFTY100 ALPHA 30,0.0,0.0,0.0,960.13
2005-04-18,NIFTY100 ALPHA 30,0.0,0.0,0.0,948.34
2005-04-19,NIFTY100 ALPHA 30,0.0,0.0,0.0,941.87
2005-04-20,NIFTY100 ALPHA 30,0.0,0.0,0.0,946.06
2005-04-21,NIFTY100 ALPHA 30,0.0,0.0,0.0,958.46
2005-04-22,NIFTY100 ALPHA 30,0.0,0.0,0.0,965.17
2005-04-25,NIFTY100 ALPHA 30,0.0,0.0,0.0,970.92
2005-04-26,NIFTY100 ALPHA 30,0.0,0.0,0.0,968.03
2005-04-27,NIFTY100 ALPHA 30,0.0,0.0,0.0,954.95
2005-04-28,NIFTY100 ALPHA 30,0.0,0.0,0.0,947.72
2005-04-29,NIFTY100 ALPHA 30,0.0,0.0,0.0,929.33
2005-05-02,NIFTY100 ALPHA 30,0.0,0.0,0.0,929.25
2005-05-03,NIFTY100 ALPHA 30,0.0,0.0,0.0,934.39
2005-05-04,NIFTY100 ALPHA 30,0.0,0.0,0.0,945.76
2005-05-05,NIFTY100 ALPHA 30,0.0,0.0,0.0,957.28
2005-05-06,NIFTY100 ALPHA 30,0.0,0.0,0.0,960.87
2005-05-09,NIFTY100 ALPHA 30,0.0,0.0,0.0,975.77
2005-05-10,NIFTY100 ALPHA 30,0.0,0.0,0.0,974.54
2005-05-11,NIFTY100 ALPHA 30,0.0,0.0,0.0,965.99
2005-05-12,NIFTY100 ALPHA 30,0.0,0.0,0.0,967.59
2005-05-13,NIFTY100 ALPHA 30,0.0,0.0,0.0,967.58
2005-05-16,NIFTY100 ALPHA 30,0.0,0.0,0.0,977.7
2005-05-17,NIFTY100 ALPHA 30,0.0,0.0,0.0,967.44
2005-05-18,NIFTY100 ALPHA 30,0.0,0.0,0.0,962.82
2005-05-19,NIFTY100 ALPHA 30,0.0,0.0,0.0,969.15
2005-05-20,NIFTY100 ALPHA 30,0.0,0.0,0.0,966.87
2005-05-23,NIFTY100 ALPHA 30,0.0,0.0,0.0,975.82
2005-05-24,NIFTY100 ALPHA 30,0.0,0.0,0.0,977.44
2005-05-25,NIFTY100 ALPHA 30,0.0,0.0,0.0,979.61
