date,index_name,open,high,low,close
2005-04-01,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1000.0
2005-04-04,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1012.17
2005-04-05,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1007.65
2005-04-06,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1011.31
2005-04-07,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1007.72
2005-04-08,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1002.9
2005-04-11,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,997.47
2005-04-12,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,999.45
2005-04-13,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1000.83
2005-04-15,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,980.03
2005-04-18,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,972.84
2005-04-19,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,967.54
2005-04-20,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,972.54
2005-04-21,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,985.12
2005-04-22,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,995.53
2005-04-25,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,999.5
2005-04-26,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,998.92
2005-04-27,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,992.22
2005-04-28,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,990.74
2005-04-29,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,979.23
2005-05-02,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,975.13
2005-05-03,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,978.44
2005-05-04,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,983.16
2005-05-05,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,991.93
2005-05-06,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,999.57
2005-05-09,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1016.49
2005-05-10,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1016.9
2005-05-11,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1023.03
2005-05-12,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1034.42
2005-05-13,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1038.39
2005-05-16,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1049.7
2005-05-17,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1038.54
2005-05-18,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1040.06
2005-05-19,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1050.51
2005-05-20,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1051.53
2005-05-23,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1053.38
2005-05-24,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1055.42
2005-05-25,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1062.33
2005-05-26,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1062.51
2005-05-27,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1057.64
2005-05-30,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1055.12
2005-05-31,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1063.27
2005-06-01,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1070.07
2005-06-02,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1066.21
2005-06-03,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1070.49
2005-06-04,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1072.3
2005-06-06,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1073.75
2005-06-07,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1074.16
2005-06-08,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1072.49
2005-06-09,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1079.7
2005-06-10,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1079.23
2005-06-13,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1080.87
2005-06-14,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1084.96
2005-06-15,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1090.63
2005-06-16,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1078.27
2005-06-17,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1064.32
2005-06-20,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1058.47
2005-06-21,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1063.02
2005-06-22,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1059.24
2005-06-23,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1065.25
2005-06-24,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1071.55
2005-06-27,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1075.74
2005-06-28,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1063.83
2005-06-29,NIFTY MIDCAP150 QUALITY 50,0.0,0.0,0.0,1067.47
