date,index_name,open,high,low,close
2005-04-01,Nifty Next 50,4275.35,4351.9,4263.9,4342.85
2005-04-04,Nifty Next 50,4359.5,4413.4,4353.0,4360.2
2005-04-05,Nifty Next 50,4367.85,4385.05,4294.6,4304.7
2005-04-06,Nifty Next 50,4314.55,4331.1,4300.1,4320.0
2005-04-07,Nifty Next 50,4359.2,4371.25,4304.3,4308.65
2005-04-08,Nifty Next 50,4328.55,4328.9,4262.95,4269.9
2005-04-11,Nifty Next 50,4276.65,4276.65,4204.7,4215.05
2005-04-12,Nifty Next 50,4226.8,4255.1,4220.55,4246.1
2005-04-13,Nifty Next 50,4247.8,4289.4,4236.2,4249.45
2005-04-15,Nifty Next 50,4245.55,4245.55,4139.9,4146.1
2005-04-18,Nifty Next 50,4097.85,4134.45,4060.35,4110.55
2005-04-19,Nifty Next 50,4116.6,4178.2,4059.85,4065.9
2005-04-20,Nifty Next 50,4074.8,4108.95,4030.4,4079.9
2005-04-21,Nifty Next 50,4062.9,4164.45,4062.9,4156.3
2005-04-22,Nifty Next 50,4153.35,4199.85,4153.35,4185.7
2005-04-25,Nifty Next 50,4201.25,4228.6,4182.75,4214.5
2005-04-26,Nifty Next 50,4219.7,4239.95,4198.85,4207.8
2005-04-27,Nifty Next 50,4218.85,4218.85,4174.7,4183.8
2005-04-28,Nifty Next 50,4177.4,4185.0,4106.4,4108.7
2005-04-29,Nifty Next 50,4118.45,4118.45,4016.85,4024.4
2005-05-02,Nifty Next 50,4039.85,4059.75,3998.8,4033.75
2005-05-03,Nifty Next 50,4048.05,4069.55,4008.4,4049.3
2005-05-04,Nifty Next 50,4054.75,4113.85,4054.75,4108.6
2005-05-05,Nifty Next 50,4165.65,4234.25,4165.65,4210.25
2005-05-06,Nifty Next 50,4220.15,4232.5,4180.85,4223.8
2005-05-09,Nifty Next 50,4239.2,4274.9,4233.65,4273.95
2005-05-10,Nifty Next 50,4278.2,4303.3,4264.4,4275.05
2005-05-11,Nifty Next 50,4275.95,4275.95,4219.95,4237.1
2005-05-12,Nifty Next 50,4234.05,4278.1,4234.05,4247.9
2005-05-13,Nifty Next 50,4262.2,4262.2,4242.6,4251.65
2005-05-16,Nifty Next 50,4257.35,4290.0,4257.35,4286.0
