date,index_name,open,high,low,close
2005-04-01,NIFTY SMALLCAP 500,0,0,0,1000.0
2005-04-04,NIFTY SMALLCAP 500,0,0,0,1007.59
2005-04-05,NIFTY SMALLCAP 500,0,0,0,999.78
2005-04-06,NIFTY SMALLCAP 500,0,0,0,1019.63
2005-04-07,NIFTY SMALLCAP 500,0,0,0,1022.89
2005-04-08,NIFTY SMALLCAP 500,0,0,0,1013.84
2005-04-11,NIFTY SMALLCAP 500,0,0,0,1006.46
2005-04-12,NIFTY SMALLCAP 500,0,0,0,1014.4
2005-04-13,NIFTY SMALLCAP 500,0,0,0,1012.74
2005-04-15,NIFTY SMALLCAP 500,0,0,0,986.61
2005-04-18,NIFTY SMALLCAP 500,0,0,0,981.2
2005-04-19,NIFTY SMALLCAP 500,0,0,0,975.96
2005-04-20,NIFTY SMALLCAP 500,0,0,0,981.16
2005-04-21,NIFTY SMALLCAP 500,0,0,0,999.22
2005-04-22,NIFTY SMALLCAP 500,0,0,0,1014.29
2005-04-25,NIFTY SMALLCAP 500,0,0,0,1021.28
2005-04-26,NIFTY SMALLCAP 500,0,0,0,1024.67
2005-04-27,NIFTY SMALLCAP 500,0,0,0,1019.44
2005-04-28,NIFTY SMALLCAP 500,0,0,0,1019.08
2005-04-29,NIFTY SMALLCAP 500,0,0,0,998.83
2005-05-02,NIFTY SMALLCAP 500,0,0,0,990.31
2005-05-03,NIFTY SMALLCAP 500,0,0,0,996.36
2005-05-04,NIFTY SMALLCAP 500,0,0,0,1016.29
2005-05-05,NIFTY SMALLCAP 500,0,0,0,1028.6
2005-05-06,NIFTY SMALLCAP 500,0,0,0,1034.65
2005-05-09,NIFTY SMALLCAP 500,0,0,0,1050.74
2005-05-10,NIFTY SMALLCAP 500,0,0,0,1056.16
2005-05-11,NIFTY SMALLCAP 500,0,0,0,1061.59
2005-05-12,NIFTY SMALLCAP 500,0,0,0,1082.64
2005-05-13,NIFTY SMALLCAP 500,0,0,0,1098.78
2005-05-16,NIFTY SMALLCAP 500,0,0,0,1115.57
2005-05-17,NIFTY SMALLCAP 500,0,0,0,1102.08
2005-05-18,NIFTY SMALLCAP 500,0,0,0,1105.15
2005-05-19,NIFTY SMALLCAP 500,0,0,0,1120.67
2005-05-20,NIFTY SMALLCAP 500,0,0,0,1124.38
2005-05-23,NIFTY SMALLCAP 500,0,0,0,1136.16
2005-05-24,NIFTY SMALLCAP 500,0,0,0,1134.88
2005-05-25,NIFTY SMALLCAP 500,0,0,0,1141.56
2005-05-26,NIFTY SMALLCAP 500,0,0,0,1136.72
2005-05-27,NIFTY SMALLCAP 500,0,0,0,1125.53
2005-05-30,NIFTY SMALLCAP 500,0,0,0,1114.32
2005-05-31,NIFTY SMALLCAP 500,0,0,0,1126.08
2005-06-01,NIFTY SMALLCAP 500,0,0,0,1136.18
2005-06-02,NIFTY SMALLCAP 500,0,0,0,1128.46
2005-06-03,NIFTY SMALLCAP 500,0,0,0,1143.32
2005-06-04,NIFTY SMALLCAP 500,0,0,0,1154.73
2005-06-06,NIFTY SMALLCAP 500,0,0,0,1160.11
2005-06-07,NIFTY SMALLCAP 500,0,0,0,1164.88
2005-06-08,NIFTY SMALLCAP 500,0,0,0,1168.0
2005-06-09,NIFTY SMALLCAP 500,0,0,0,1169.9
2005-06-10,NIFTY SMALLCAP 500,0,0,0,1164.75
2005-06-13,NIFTY SMALLCAP 500,0,0,0,1169.74
2005-06-14,NIFTY SMALLCAP 500,0,0,0,1175.04
2005-06-15,NIFTY SMALLCAP 500,0,0,0,1183.62
2005-06-16,NIFTY SMALLCAP 500,0,0,0,1157.94
2005-06-17,NIFTY SMALLCAP 500,0,0,0,1136.26
2005-06-20,NIFTY SMALLCAP 500,0,0,0,1122.3
2005-06-21,NIFTY SMALLCAP 500,0,0,0,1130.51
2005-06-22,NIFTY SMALLCAP 500,0,0,0,1132.32
2005-06-23,NIFTY SMALLCAP 500,0,0,0,1137.18
2005-06-24,NIFTY SMALLCAP 500,0,0,0,1150.5
2005-06-27,NIFTY SMALLCAP 500,0,0,0,1144.88
2005-06-28,NIFTY SMALLCAP 500,0,0,0,1122.48
2005-06-29,NIFTY SMALLCAP 500,0,0,0,1133.69
2005-06-30,NIFTY SMALLCAP 500,0,0,0,1141.76
2005-07-01,NIFTY SMALLCAP 500,0,0,0,1156.11
2005-07-04,NIFTY SMALLCAP 500,0,0,0,1173.75
2005-07-05,NIFTY SMALLCAP 500,0,0,0,1166.41
2005-07-06,NIFTY SMALLCAP 500,0,0,0,1185.94
2005-07-07,NIFTY SMALLCAP 500,0,0,0,1172.09
2005-07-08,NIFTY SMALLCAP 500,0,0,0,1195.07
2005-07-11,NIFTY SMALLCAP 500,0,0,0,1216.11
2005-07-12,NIFTY SMALLCAP 500,0,0,0,1220.99
2005-07-13,NIFTY SMALLCAP 500,0,0,0,1233.75
2005-07-14,NIFTY SMALLCAP 500,0,0,0,1236.98
2005-07-15,NIFTY SMALLCAP 500,0,0,0,1254.88
2005-07-18,NIFTY SMALLCAP 500,0,0,0,1278.55
2005-07-19,NIFTY SMALLCAP 500,0,0,0,1284.69
2005-07-20,NIFTY SMALLCAP 500,0,0,0,1293.14
2005-07-21,NIFTY SMALLCAP 500,0,0,0,1289.0
2005-07-22,NIFTY SMALLCAP 500,0,0,0,1306.13
2005-07-25,NIFTY SMALLCAP 500,0,0,0,1309.52
2005-07-26,NIFTY SMALLCAP 500,0,0,0,1299.18
2005-07-27,NIFTY SMALLCAP 500,0,0,0,1293.41
2005-07-29,NIFTY SMALLCAP 500,0,0,0,1279.98
2005-08-01,NIFTY SMALLCAP 500,0,0,0,1280.77
2005-08-02,NIFTY SMALLCAP 500,0,0,0,1307.91
2005-08-03,NIFTY SMALLCAP 500,0,0,0,1305.05
2005-08-04,NIFTY SMALLCAP 500,0,0,0,1321.84
2005-08-05,NIFTY SMALLCAP 500,0,0,0,1341.31
2005-08-08,NIFTY SMALLCAP 500,0,0,0,1331.73
2005-08-09,NIFTY SMALLCAP 500,0,0,0,1337.03
2005-08-10,NIFTY SMALLCAP 500,0,0,0,1370.98
2005-08-11,NIFTY SMALLCAP 500,0,0,0,1392.23
2005-08-12,NIFTY SMALLCAP 500,0,0,0,1401.02
2005-08-16,NIFTY SMALLCAP 500,0,0,0,1425.92
2005-08-17,NIFTY SMALLCAP 500,0,0,0,1450.88
2005-08-18,NIFTY SMALLCAP 500,0,0,0,1443.75
2005-08-19,NIFTY SMALLCAP 500,0,0,0,1460.98
2005-08-22,NIFTY SMALLCAP 500,0,0,0,1464.74
2005-08-23,NIFTY SMALLCAP 500,0,0,0,1421.68
2005-08-24,NIFTY SMALLCAP 500,0,0,0,1407.25
2005-08-25,NIFTY SMALLCAP 500,0,0,0,1435.79
2005-08-26,NIFTY SMALLCAP 500,0,0,0,1447.34
2005-08-29,NIFTY SMALLCAP 500,0,0,0,1464.57
2005-08-30,NIFTY SMALLCAP 500,0,0,0,1483.17
2005-08-31,NIFTY SMALLCAP 500,0,0,0,1507.29
2005-09-01,NIFTY SMALLCAP 500,0,0,0,1521.78
2005-09-02,NIFTY SMALLCAP 500,0,0,0,1521.44
2005-09-05,NIFTY SMALLCAP 500,0,0,0,1531.5
2005-09-06,NIFTY SMALLCAP 500,0,0,0,1530.84
2005-09-08,NIFTY SMALLCAP 500,0,0,0,1542.36
2005-09-09,NIFTY SMALLCAP 500,0,0,0,1530.92
2005-09-12,NIFTY SMALLCAP 500,0,0,0,1552.12
2005-09-13,NIFTY SMALLCAP 500,0,0,0,1563.64
2005-09-14,NIFTY SMALLCAP 500,0,0,0,1556.23
2005-09-15,NIFTY SMALLCAP 500,0,0,0,1581.49
2005-09-16,NIFTY SMALLCAP 500,0,0,0,1595.89
2005-09-19,NIFTY SMALLCAP 500,0,0,0,1605.98
2005-09-20,NIFTY SMALLCAP 500,0,0,0,1595.39
2005-09-21,NIFTY SMALLCAP 500,0,0,0,1546.77
2005-09-22,NIFTY SMALLCAP 500,0,0,0,1437.83
2005-09-23,NIFTY SMALLCAP 500,0,0,0,1447.38
2005-09-26,NIFTY SMALLCAP 500,0,0,0,1511.43
2005-09-27,NIFTY SMALLCAP 500,0,0,0,1524.65
2005-09-28,NIFTY SMALLCAP 500,0,0,0,1531.2
2005-09-29,NIFTY SMALLCAP 500,0,0,0,1508.03
2005-09-30,NIFTY SMALLCAP 500,0,0,0,1484.6
2005-10-03,NIFTY SMALLCAP 500,0,0,0,1510.95
2005-10-04,NIFTY SMALLCAP 500,0,0,0,1532.36
2005-10-05,NIFTY SMALLCAP 500,0,0,0,1522.99
2005-10-06,NIFTY SMALLCAP 500,0,0,0,1501.92
2005-10-07,NIFTY SMALLCAP 500,0,0,0,1498.0
2005-10-10,NIFTY SMALLCAP 500,0,0,0,1485.08
2005-10-11,NIFTY SMALLCAP 500,0,0,0,1471.21
2005-10-13,NIFTY SMALLCAP 500,0,0,0,1457.68
2005-10-14,NIFTY SMALLCAP 500,0,0,0,1417.62
2005-10-17,NIFTY SMALLCAP 500,0,0,0,1397.06
2005-10-18,NIFTY SMALLCAP 500,0,0,0,1394.62
2005-10-19,NIFTY SMALLCAP 500,0,0,0,1340.99
2005-10-20,NIFTY SMALLCAP 500,0,0,0,1310.41
2005-10-21,NIFTY SMALLCAP 500,0,0,0,1323.1
2005-10-24,NIFTY SMALLCAP 500,0,0,0,1327.43
2005-10-25,NIFTY SMALLCAP 500,0,0,0,1329.67
2005-10-26,NIFTY SMALLCAP 500,0,0,0,1330.44
2005-10-27,NIFTY SMALLCAP 500,0,0,0,1312.54
2005-10-28,NIFTY SMALLCAP 500,0,0,0,1283.2
