date,index_name,open,high,low,close
2005-04-01,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1000.0
2005-04-04,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1001.84
2005-04-05,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,987.65
2005-04-06,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,993.73
2005-04-07,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,990.47
2005-04-08,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,981.1
2005-04-11,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,976.97
2005-04-12,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,988.39
2005-04-13,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,992.69
2005-04-15,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,963.53
2005-04-18,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,954.75
2005-04-19,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,948.91
2005-04-20,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,961.67
2005-04-21,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,977.62
2005-04-22,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,989.24
2005-04-25,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,990.05
2005-04-26,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,990.93
2005-04-27,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,983.18
2005-04-28,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,983.43
2005-04-29,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,963.27
2005-05-02,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,956.38
2005-05-03,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,961.45
2005-05-04,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,975.45
2005-05-05,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,982.92
2005-05-06,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,985.41
2005-05-09,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1001.13
2005-05-10,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,998.22
2005-05-11,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,997.38
2005-05-12,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1005.07
2005-05-13,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1012.22
2005-05-16,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1018.71
2005-05-17,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1011.29
2005-05-18,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1012.03
2005-05-19,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1020.05
2005-05-20,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1015.2
2005-05-23,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1020.75
2005-05-24,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1024.86
2005-05-25,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1025.27
2005-05-26,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1025.57
2005-05-27,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1022.19
2005-05-30,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1016.09
2005-05-31,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1026.62
2005-06-01,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1032.84
2005-06-02,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1021.66
2005-06-03,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1028.9
2005-06-04,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1034.82
2005-06-06,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1034.77
2005-06-07,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1035.37
2005-06-08,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1035.75
2005-06-09,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1035.68
2005-06-10,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1031.46
2005-06-13,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1028.43
2005-06-14,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1037.5
2005-06-15,Nifty Total Market Momentum Quality 50,0.0,0.0,0.0,1044.5
