date,index_name,open,high,low,close
2005-04-01,Nifty Total Market,0.0,0.0,0.0,1000.0
2005-04-04,Nifty Total Market,0.0,0.0,0.0,999.39
2005-04-05,Nifty Total Market,0.0,0.0,0.0,993.28
2005-04-06,Nifty Total Market,0.0,0.0,0.0,1001.23
2005-04-07,Nifty Total Market,0.0,0.0,0.0,996.58
2005-04-08,Nifty Total Market,0.0,0.0,0.0,988.18
2005-04-11,Nifty Total Market,0.0,0.0,0.0,977.7
2005-04-12,Nifty Total Market,0.0,0.0,0.0,985.39
2005-04-13,Nifty Total Market,0.0,0.0,0.0,986.02
2005-04-15,Nifty Total Market,0.0,0.0,0.0,956.88
2005-04-18,Nifty Total Market,0.0,0.0,0.0,945.74
2005-04-19,Nifty Total Market,0.0,0.0,0.0,938.6
2005-04-20,Nifty Total Market,0.0,0.0,0.0,945.98
2005-04-21,Nifty Total Market,0.0,0.0,0.0,957.27
2005-04-22,Nifty Total Market,0.0,0.0,0.0,965.66
2005-04-25,Nifty Total Market,0.0,0.0,0.0,969.2
2005-04-26,Nifty Total Market,0.0,0.0,0.0,965.08
2005-04-27,Nifty Total Market,0.0,0.0,0.0,955.43
2005-04-28,Nifty Total Market,0.0,0.0,0.0,952.76
2005-04-29,Nifty Total Market,0.0,0.0,0.0,936.36
2005-05-02,Nifty Total Market,0.0,0.0,0.0,939.8
2005-05-03,Nifty Total Market,0.0,0.0,0.0,941.53
2005-05-04,Nifty Total Market,0.0,0.0,0.0,952.3
2005-05-05,Nifty Total Market,0.0,0.0,0.0,963.36
2005-05-06,Nifty Total Market,0.0,0.0,0.0,969.42
2005-05-09,Nifty Total Market,0.0,0.0,0.0,981.22
2005-05-10,Nifty Total Market,0.0,0.0,0.0,979.25
2005-05-11,Nifty Total Market,0.0,0.0,0.0,976.32
2005-05-12,Nifty Total Market,0.0,0.0,0.0,981.37
2005-05-13,Nifty Total Market,0.0,0.0,0.0,981.32
2005-05-16,Nifty Total Market,0.0,0.0,0.0,991.31
2005-05-17,Nifty Total Market,0.0,0.0,0.0,980.4
2005-05-18,Nifty Total Market,0.0,0.0,0.0,977.92
2005-05-19,Nifty Total Market,0.0,0.0,0.0,983.23
2005-05-20,Nifty Total Market,0.0,0.0,0.0,983.75
2005-05-23,Nifty Total Market,0.0,0.0,0.0,993.35
2005-05-24,Nifty Total Market,0.0,0.0,0.0,998.6
2005-05-25,Nifty Total Market,0.0,0.0,0.0,1004.39
2005-05-26,Nifty Total Market,0.0,0.0,0.0,1011.73
2005-05-27,Nifty Total Market,0.0,0.0,0.0,1012.96
2005-05-30,Nifty Total Market,0.0,0.0,0.0,1009.73
2005-05-31,Nifty Total Market,0.0,0.0,0.0,1018.46
2005-06-01,Nifty Total Market,0.0,0.0,0.0,1020.54
2005-06-02,Nifty Total Market,0.0,0.0,0.0,1011.2
2005-06-03,Nifty Total Market,0.0,0.0,0.0,1023.3
2005-06-04,Nifty Total Market,0.0,0.0,0.0,1024.56
2005-06-06,Nifty Total Market,0.0,0.0,0.0,1027.01
2005-06-07,Nifty Total Market,0.0,0.0,0.0,1031.04
2005-06-08,Nifty Total Market,0.0,0.0,0.0,1036.96
2005-06-09,Nifty Total Market,0.0,0.0,0.0,1034.1
2005-06-10,Nifty Total Market,0.0,0.0,0.0,1027.96
2005-06-13,Nifty Total Market,0.0,0.0,0.0,1031.96
2005-06-14,Nifty Total Market,0.0,0.0,0.0,1034.77
2005-06-15,Nifty Total Market,0.0,0.0,0.0,1041.16
2005-06-16,Nifty Total Market,0.0,0.0,0.0,1034.26
2005-06-17,Nifty Total Market,0.0,0.0,0.0,1029.48
2005-06-20,Nifty Total Market,0.0,0.0,0.0,1033.04
2005-06-21,Nifty Total Market,0.0,0.0,0.0,1041.85
2005-06-22,Nifty Total Market,0.0,0.0,0.0,1048.11
2005-06-23,Nifty Total Market,0.0,0.0,0.0,1049.2
2005-06-24,Nifty Total Market,0.0,0.0,0.0,1055.36
2005-06-27,Nifty Total Market,0.0,0.0,0.0,1056.34
2005-06-28,Nifty Total Market,0.0,0.0,0.0,1040.96
2005-06-29,Nifty Total Market,0.0,0.0,0.0,1050.45
2005-06-30,Nifty Total Market,0.0,0.0,0.0,1057.81
2005-07-01,Nifty Total Market,0.0,0.0,0.0,1061.36
2005-07-04,Nifty Total Market,0.0,0.0,0.0,1073.05
2005-07-05,Nifty Total Market,0.0,0.0,0.0,1064.48
2005-07-06,Nifty Total Market,0.0,0.0,0.0,1076.41
2005-07-07,Nifty Total Market,0.0,0.0,0.0,1056.46
2005-07-08,Nifty Total Market,0.0,0.0,0.0,1068.44
2005-07-11,Nifty Total Market,0.0,0.0,0.0,1080.0
2005-07-12,Nifty Total Market,0.0,0.0,0.0,1081.94
2005-07-13,Nifty Total Market,0.0,0.0,0.0,1079.02
2005-07-14,Nifty Total Market,0.0,0.0,0.0,1074.12
2005-07-15,Nifty Total Market,0.0,0.0,0.0,1086.2
2005-07-18,Nifty Total Market,0.0,0.0,0.0,1098.44
2005-07-19,Nifty Total Market,0.0,0.0,0.0,1101.61
2005-07-20,Nifty Total Market,0.0,0.0,0.0,1105.77
2005-07-21,Nifty Total Market,0.0,0.0,0.0,1100.18
2005-07-22,Nifty Total Market,0.0,0.0,0.0,1115.79
2005-07-25,Nifty Total Market,0.0,0.0,0.0,1127.02
2005-07-26,Nifty Total Market,0.0,0.0,0.0,1127.23
2005-07-27,Nifty Total Market,0.0,0.0,0.0,1132.38
2005-07-29,Nifty Total Market,0.0,0.0,0.0,1126.2
2005-08-01,Nifty Total Market,0.0,0.0,0.0,1132.9
2005-08-02,Nifty Total Market,0.0,0.0,0.0,1151.69
2005-08-03,Nifty Total Market,0.0,0.0,0.0,1151.51
2005-08-04,Nifty Total Market,0.0,0.0,0.0,1157.34
2005-08-05,Nifty Total Market,0.0,0.0,0.0,1159.01
2005-08-08,Nifty Total Market,0.0,0.0,0.0,1142.17
2005-08-09,Nifty Total Market,0.0,0.0,0.0,1139.9
2005-08-10,Nifty Total Market,0.0,0.0,0.0,1159.88
2005-08-11,Nifty Total Market,0.0,0.0,0.0,1169.42
2005-08-12,Nifty Total Market,0.0,0.0,0.0,1164.11
2005-08-16,Nifty Total Market,0.0,0.0,0.0,1170.19
2005-08-17,Nifty Total Market,0.0,0.0,0.0,1184.8
2005-08-18,Nifty Total Market,0.0,0.0,0.0,1179.03
2005-08-19,Nifty Total Market,0.0,0.0,0.0,1177.92
2005-08-22,Nifty Total Market,0.0,0.0,0.0,1171.33
2005-08-23,Nifty Total Market,0.0,0.0,0.0,1149.91
2005-08-24,Nifty Total Market,0.0,0.0,0.0,1144.26
2005-08-25,Nifty Total Market,0.0,0.0,0.0,1157.87
2005-08-26,Nifty Total Market,0.0,0.0,0.0,1165.82
